Business Name,Owner Name,Direct Mobile,Personal Email,LinkedIn Profile,Hiring Status,Office Line,Estimated Revenue Loss,Loss Reason,Website
Jones Law Group,N/A,N/A,ebalgpq.orglmgr@kye.comckhj,N/A,N/A,+1 601-272-2406 ,$15000,N/A,http://www.injuredinmississippi.com/
"The Law Office of M. Devin Whitt, PLLC",N/A,N/A,N/A,N/A,N/A,+1 601-607-5055 ,$15000,N/A,https://www.whittlawfirm.com/?utm_source=google&utm_medium=local
'Maggio Law,N/A,N/A,N/A,N/A,N/A,+1 601-588-8811 ,$15000,N/A,https://www.mtlawms.com/?utm_source=GMB&utm_medium=organic&utm_campaign=jackson
"The Franks Law Firm, PLLC",N/A,N/A,mross@thefrankslawfirm.com,N/A,N/A,+1 601-773-7777 ,$15000,N/A,https://thefrankslawfirm.com/
Richard Schwartz & Associates Injury Lawyers P.A.,N/A,N/A,N/A,N/A,N/A,+1 601-800-5559 ,$15000,N/A,https://www.1call.ms/locations/jackson/?utm_source=google&utm_medium=organic&utm_campaign=GBP-Jackson
Mama Justice - MW Law Firm,N/A,N/A,N/A,N/A,N/A,+1 601-533-9119 ,$15000,N/A,https://www.mamajustice.com/jackson/?utm_source=local&utm_medium=organic&utm_campaign=gmb_jackson
"Diaz Law Firm, PLLC",N/A,N/A,N/A,N/A,N/A,+1 601-607-3456 ,$15000,N/A,http://diazlawfirm.com/
"Richard Schwartz & Associates Injury Lawyers, P.A.",N/A,N/A,N/A,N/A,N/A,+1 601-299-4540 ,$15000,N/A,https://www.1call.ms/locations/hattiesburg/?utm_source=google&utm_medium=organic&utm_campaign=GBP-Hattiesburg
"Richard Schwartz & Associates Injury Lawyers, P.A.",N/A,N/A,N/A,N/A,N/A,+1 601-286-2774 ,$15000,N/A,https://www.1call.ms/locations/meridian/?utm_source=google&utm_medium=organic&utm_campaign=GBP-Meridian
University of Mississippi Medical Center,N/A,N/A,N/A,N/A,N/A,+1 601-984-1000 ,$8000,N/A,http://www.umc.edu/
Medical Clinic of Mississippi,N/A,N/A,N/A,N/A,N/A,+1 601-957-5150 ,$8000,N/A,https://www.merithealthcentral.com/find-a-doctor/goel-dinesh-md-12208
"Mississippi Medical Clinic of Mendenhall, LLC",N/A,N/A,worldmapscenter@yandex.com,N/A,N/A,+1 601-675-1200 ,$8000,N/A,https://rymaps.xyz/business/mississippi-medical-clinic-of-mendenhall-llc-ixglhw
Mississippi Medical Clinic,N/A,N/A,N/A,N/A,N/A,+1 601-452-7080 ,$8000,N/A,N/A
East Mississippi Medical Clinic,N/A,N/A,N/A,N/A,N/A,+1 601-635-3435 ,$8000,N/A,N/A
Medical Clinic,N/A,N/A,N/A,N/A,N/A,+1 662-342-3457 ,$8000,N/A,N/A
South Central Regional Medical Center,N/A,N/A,N/A,N/A,N/A,+1 601-426-4000 ,$8000,N/A,https://scrmc.com/
Central Mississippi Health Services,N/A,N/A,N/A,N/A,N/A,+1 601-914-0163 ,$8000,N/A,https://centralmshealth.org/
Ochsner Health Center - Union,N/A,N/A,N/A,N/A,N/A,+1 601-774-8211 ,$8000,N/A,https://www.rushhealthsystems.org/clinics/family-medical-group-of-union/
Pontotoc Medical Clinic,N/A,N/A,recruit@nmhs.net,N/A,N/A,+1 662-489-7430 ,$8000,N/A,https://www.nmhs.net/Locations/Pontotoc-Medical-Clinic
Watkins Construction & Roofing,N/A,N/A,N/A,N/A,N/A,+1 601-708-9617 ,$12000,N/A,https://watkinsconstructioninc.com/jackson-mississippi-roofing-contractor/?utm_campaign=gmb&utm_medium=gmb&utm_source=googlejmsgmb
Elite Roofing & Gutters,N/A,N/A,N/A,N/A,N/A,+1 601-589-9410 ,$12000,N/A,https://eliteroofer.com/?utm_campaign=gmb
Watkins Construction & Roofing,N/A,N/A,N/A,N/A,N/A,+1 601-708-9774 ,$12000,N/A,https://watkinsconstructioninc.com/location/central-mississippi-roofer/ridgeland/?utm_campaign=gmb&utm_medium=ridgelandgbp&utm_source=googlegbp
Watkins Construction & Roofing,N/A,N/A,N/A,N/A,N/A,+1 601-708-9697 ,$12000,N/A,https://watkinsconstructioninc.com/location/central-mississippi-roofer/expert-brandon-mississippi-roofing-contractor/?utm_campaign=gmb&utm_medium=brandongbp&utm_source=googlegbp
Renova Roofing & Construction,N/A,N/A,N/A,N/A,N/A,+1 601-647-3433 ,$12000,N/A,https://renovaroofing.com/mississippi/
Strength Roofing & Siding,N/A,N/A,strength@roofingms.com,N/A,N/A,+1 601-721-5876 ,$12000,N/A,http://strengthroofingandsiding.com/?utm_campaign=gmb
Watkins Construction & Roofing,N/A,N/A,N/A,N/A,N/A,+1 601-871-6037 ,$12000,N/A,https://watkinsconstructioninc.com/location/south-mississippi/hattiesburg/?utm_campaign=gmb&utm_medium=gmb&utm_source=google+
Best Choice Roofing,N/A,N/A,yournewroof@bestchoiceroofing.com,N/A,N/A,+1 601-688-7311 ,$12000,N/A,https://bestchoiceroofing.com/locations/mississippi/jackson/?utm_source=gmb&utm_medium=organic&utm_campaign=jackson-ms
Ready2Roof,N/A,N/A,N/A,N/A,N/A,+1 601-573-1160 ,$12000,N/A,https://www.ready2roof.com/
"Mississippi Solar, LLC",N/A,N/A,info@mssolar.net,N/A,N/A,+1 601-656-6161 ,$15000,N/A,http://www.mssolar.net/
"Panels Up Solar, LLC",N/A,N/A,N/A,N/A,N/A,+1 228-363-9121 ,$15000,N/A,http://panelsupsolar.com/
Carbon Recall Tupelo,N/A,N/A,N/A,N/A,N/A,+1 662-260-5097 ,$15000,N/A,http://www.carbonrecalltupelo.com/
community solar,N/A,N/A,N/A,N/A,N/A,+1 855-877-4130 ,$15000,N/A,https://www.community.solar/
Solar South LLC,N/A,N/A,N/A,N/A,N/A,+1 601-498-1514 ,$15000,N/A,https://solarsouth.org/
Solar Farm Silicon Ranch,N/A,N/A,government.affairs@siliconranch.com,N/A,N/A,+1 615-577-4786 ,$15000,N/A,https://www.siliconranch.com/us-solar/ms/hattiesburg-farm/
"Efficient Power & Light, LLC",N/A,N/A,N/A,N/A,N/A,+1 601-360-8720 ,$15000,N/A,https://www.efficientpl.com/?utm_source=google-gmb-maps&utm_medium=gmb-website-button&utm_campaign=locl.io&utm_content=08c6540e-80cd-418b-8265-b25c30ed197e
Solar Supply Inc.,N/A,N/A,N/A,N/A,N/A,+1 601-544-1777 ,$15000,N/A,https://solarsupply.us/
Ragsdale Solar Park,N/A,N/A,support@arcadia.com,N/A,N/A,+1 866-526-0083 ,$15000,N/A,https://www.arcadia.com/community-solar
Solar Supply Inc,N/A,N/A,N/A,N/A,N/A,+1 228-868-7358 ,$15000,N/A,https://solarsupply.us/
Dumpin' Junk,N/A,N/A,dumpinjunkwv@gmail.com,N/A,N/A,+1 240-527-0800 ,$3500,N/A,https://www.dumpinjunk.com/
Dumper Daddiez Junk Removal LLC,N/A,N/A,dumperdaddiez@gmail.com,N/A,N/A,+1 304-216-0530 ,$3500,N/A,https://dumperdaddiez.square.site/
Trash Monkey Junk Removal & Hauling,N/A,N/A,N/A,N/A,N/A,+1 833-586-5911 ,$3500,N/A,http://www.trash-monkey.com/
Just Junkit L.L.C,N/A,N/A,hello@jusjunk.com,N/A,N/A,+1 540-587-5865 ,$3500,N/A,https://jusjunk.com/
Trash Monkey Junk Removal Huntington,N/A,N/A,N/A,N/A,N/A,+1 833-586-5911 ,$3500,N/A,http://www.trash-monkey.com/
Guy with a Truck,N/A,N/A,Blairn.Harper@gmail.com,N/A,N/A,+1 724-590-2443 ,$3500,N/A,https://www.truck-guy.com/
"WM - Charleston Hauling, WV",N/A,N/A,N/A,N/A,N/A,+1 866-299-2825 ,$3500,N/A,https://www.wm.com/us/en/location/wv/charleston/commercial-trash-service-charleston-wv
WV Junk a Haulics,N/A,N/A,N/A,N/A,N/A,+1 304-667-5865 ,$3500,N/A,https://wvjunkahaulics.com/
Backbone Hauling & Junk Removal,N/A,N/A,backbonehauling@gmail.com,N/A,N/A,+1 304-926-7025 ,$3500,N/A,https://backbonehauling.com/
Corea Waste Removal LLC,N/A,N/A,coreawasteremoval@gmail.com,N/A,N/A,+1 240-505-7282 ,$3500,N/A,https://www.facebook.com/coreawasteremoval
Best Virginia Heating & AC Repair,N/A,N/A,N/A,N/A,N/A,+1 681-249-8219 ,$10000,N/A,https://bestvirginiahvac.com/furnace-repair/?utm_source=google&utm_medium=organic&utm_campaign=gbp_hurricane
Appalachian Heating,N/A,N/A,N/A,N/A,N/A,+1 304-877-5566 ,$10000,N/A,http://www.appheat.com/
Absolute Heating & Air,N/A,N/A,N/A,N/A,N/A,+1 304-212-6107 ,$10000,N/A,https://goabsoluteair.com/?utm_source=google&utm_medium=gbp
Teays Valley Service Experts,N/A,N/A,N/A,N/A,N/A,+1 304-832-3915 ,$10000,N/A,https://www.serviceexperts.com/hurricane-wv/?&utm_campaign=listing&utm_medium=organic_search&utm_source=gmb&utm_content=brand
UKV HVAC,N/A,N/A,office@ukv-hvac.com,N/A,N/A,+1 304-419-6789 ,$10000,N/A,https://ukv-hvac.com/
Ashworth Heating & Cooling,N/A,N/A,N/A,N/A,N/A,+1 304-449-3428 ,$10000,N/A,https://www.ashworthcool.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp
Advanced Air Solutions,N/A,N/A,N/A,N/A,N/A,+1 304-395-9867 ,$10000,N/A,http://advancedairwv.com/
Aire Serv of Martinsburg,N/A,N/A,N/A,N/A,N/A,+1 304-239-5229 ,$10000,N/A,https://www.aireserv.com/martinsburg/?cid=LSTL_ASV-US000187&utm_source=gmb&utm_campaign=local&utm_medium=organic
Techstar Mechanical Services llc.,N/A,N/A,techstar8572@gmail.com,N/A,N/A,+1 304-535-8572 ,$10000,N/A,https://www.techstarmechanical.com/
"Warner Law Offices, PLLC",N/A,N/A,N/A,N/A,N/A,+1 304-756-5570 ,$15000,N/A,https://www.wvpersonalinjury.com/auto-accidents/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-website-charleston
Morgan & Morgan,N/A,N/A,themorganconnection@forthepeople.com,N/A,N/A,+1 304-345-1122 ,$15000,N/A,https://www.forthepeople.com/office-locations/west-virginia/charleston/?utm_source=GMB&utm_medium=local&utm_campaign=CharlestonWVGMB
"Farmer, Cline & Campbell Personal Injury Lawyers Charleston",N/A,N/A,N/A,N/A,N/A,+1 304-873-9521 ,$15000,N/A,https://farmerclinecampbell.com/?utm_medium=organic&utm_campaign=gmb-charleston
Skinner Accident & Injury Lawyers,N/A,N/A,N/A,N/A,N/A,+1 304-769-6085 ,$15000,N/A,https://skinnerfirm.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-website-charles-town
Jan Dils Attorneys at Law,N/A,N/A,N/A,N/A,N/A,+1 304-407-2712 ,$15000,N/A,https://jandils.com/charleston-injury/?utm_source=GBP&utm_medium=GBP&utm_campaign=GBP_Charleston&utm_id=GBP_Charleston
"Robinette Legal Group, PLLC",N/A,N/A,jeff.robinette@robinettelaw.com,N/A,N/A,+1 304-509-3444 ,$15000,N/A,https://www.robinettelaw.com/
Salango Law,N/A,N/A,N/A,N/A,N/A,+1 304-342-0512 ,$15000,N/A,http://www.salangolaw.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp
West Law Firm LC,N/A,N/A,N/A,N/A,N/A,+1 304-343-9378 ,$15000,N/A,https://www.westinjurylawyers.com/
Klie Law Offices,N/A,N/A,N/A,N/A,N/A,+1 304-924-4149 ,$15000,N/A,https://www.klielaw.com/
The Wagner Law Firm,N/A,N/A,N/A,N/A,N/A,+1 304-461-6000 ,$15000,N/A,https://www.westvirginiaduilawyers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=Martinsburg
WVU Medicine Berkeley Medical Center,N/A,N/A,MyWVUChart@wvumedicine.org,N/A,N/A,+1 304-264-1000 ,$8000,N/A,http://wvumedicine.org/berkeley/
